[говорят, 35]
[отца, 35]
[весь, 35]
[которым, 35]
[сына, 34]
[свой, 34]
[почти, 34]
[вся, 34]
[взял, 34]
[комнате, 34]
[императора, 34]
[если, 34]
[une, 34]
[анны, 34]
[давно, 34]
[тогда, 34]
[подле, 33]
[войск, 33]
[гусар, 33]
[куда, 33]
[слишком, 33]
[ведь, 33]
[me, 33]
[орудия, 33]
[крикнул, 33]
[могла, 33]
[главнокомандующего, 33]
[неприятеля, 33]
[полковник, 32]
[говорю, 32]
[cher, 32]
[слово, 32]
[тотчас, 32]
[указывая, 32]
[командира, 32]
[право, 32]
[сзади, 32]
[билибин, 32]
[наполеон, 32]
[посмотрел, 32]
[думаю, 32]
[отец, 32]
[тяжело, 32]
[комнаты, 32]
[одной, 31]
[стояли, 31]
[государю, 31]
[адъютант, 31]
[император, 31]
[милая, 31]
[молча, 31]
[улыбнулся, 31]
[сиятельство, 31]
[ипполит, 31]
[видом, 30]
[русские, 30]
[гостиной, 30]
[понять, 30]
[сюда, 30]
[dans, 30]
[всей, 30]
[ко, 30]
[виконт, 30]
[такое, 30]
[смотрели, 30]
[господа, 30]
[три, 29]
[полка, 29]
[лучше, 29]
[понял, 29]
[сделал, 29]
[говорит, 29]
[желая, 29]
[андрею, 29]
[стали, 29]
[наш, 29]
[положение, 29]
[ясно, 29]
[сердито, 29]
[оглянулся, 29]
[оно, 28]
[лошадей, 28]
[долго, 28]
[дома, 28]
[однако, 28]
[votre, 28]
[буду, 28]
[шел, 28]
[невольно, 28]
[молодого, 28]
[старик, 28]
[свете, 28]
[своему, 28]
[сторону, 28]
[каждый, 28]
[увидав, 28]
[багратиона, 28]
[минуты, 27]
[офицера, 27]
[слезы, 27]
[деле, 27]
[рад, 27]
[армию, 27]
[пор, 27]
[денисова, 27]
[должно, 27]
[хотите, 27]
[действительно, 27]
[такие, 27]
[часто, 27]
[bien, 27]
[стороны, 27]
[могли, 27]
[prince, 27]
[ноги, 27]
[точно, 27]
[слышал, 26]
[этому, 26]
[кого, 26]
[ближе, 26]
[en, 26]
[та, 26]
[офицеры, 26]
[вечера, 26]
[кутузову, 26]
[женщины, 26]
[тихо, 26]
[берг, 26]
[хоть, 26]
[коли, 26]
[ночь, 26]
[отчего, 26]
[сколько, 26]
[генералу, 26]
[понимаю, 26]
[долгоруков, 26]
[приехал, 26]
[далеко, 26]
[брат, 25]
[оба, 25]
[дороге, 25]
[батюшка, 25]
[какое, 25]
[жерков, 25]
[анатоля, 25]
[дать, 25]
[василья, 25]
[дорогу, 25]
[вокруг, 25]
[василия, 24]
[какой, 24]
[своею, 24]
[вопрос, 24]
[едва, 24]
[заметил, 24]
[ехать, 24]
[никого, 24]
[тоном, 24]
[наших, 24]
[подъехал, 24]
[армия, 24]
[вошел, 24]
[наши, 24]
[сражение, 24]
[tres, 24]
[офицеров, 24]
[верно, 24]
[болконского, 24]
[столь, 24]
[сидели, 24]
[близко, 24]
[жизнь, 23]
[плечами, 23]
[маленькой, 23]
[которому, 23]
[тушина, 23]
[стол, 23]
[поспешно, 23]
[именно, 23]
[имел, 23]
[почувствовал, 23]
[пока, 23]
[зная, 23]
[увидал, 23]
[дочь, 23]
[стало, 23]
[полкового, 23]
[всё-таки, 23]
[правда, 23]
[времени, 23]
[напротив, 23]
[скоро, 23]
[месте, 22]
[вышла, 22]
[знаешь, 22]
[ехал, 22]
[люблю, 22]
[начал, 22]
[утра, 22]
[легко, 22]
[взгляд, 22]
[дня, 22]
[деньги, 22]
[встал, 22]
[положении, 22]
[из-под, 22]
[ah, 22]
[son, 22]
[повторил, 22]
[моста, 22]
[ногу, 22]
[постоянно, 22]
[спокойно, 22]
[pere, 22]
[адъютанта, 22]
[должна, 22]
[ожидая, 22]
[мгновение, 22]
[иногда, 22]
[разве, 22]
[движение, 21]
[гостей, 21]
[скорее, 21]
[собою, 21]
[оглядываясь, 21]
[неприятель, 21]
[сердце, 21]
[стола, 21]
[вопросительно, 21]
[сидела, 21]
[цепи, 21]
[спросила, 21]
[улыбнулась, 21]
[слегка, 21]
[послышался, 21]
[строго, 21]
[улыбка, 21]
[вечер, 21]
[другое, 21]
[лет, 21]
[россии, 21]
[говоря, 21]
[людьми, 21]
[мать, 21]
[дочери, 21]
[павловны, 21]
[солдата, 21]
[страх, 21]
[полку, 21]
[взглядом, 21]
[кошелек, 21]
[вероятно, 21]
[пожалуйста, 21]
[гостиную, 21]
[on, 21]
[штаб-офицер, 21]
[стоит, 21]
[хотелось, 21]
[места, 20]
[руке, 20]
[вами, 20]
[шли, 20]
[находился, 20]
[слов, 20]
[прибавила, 20]
[делал, 20]
[другого, 20]
[скажу, 20]
[сел, 20]
[успел, 20]
[мысли, 20]
[превосходительство, 20]
[руках, 20]
[отвечала, 20]
[non, 20]
[марьи, 20]
[гости, 20]
[равно, 20]
[генерала, 20]
[силы, 20]
[поле, 20]
[глазах, 20]
[любовь, 20]
[самых, 19]
[moi, 19]
[крики, 19]
[самого, 19]
[всеми, 19]
[pauvre, 19]
[взглянул, 19]
[боже, 19]
[деревне, 19]
[ete, 19]
[думала, 19]
[гостья, 19]
[русских, 19]
[платье, 19]
[радостно, 19]
[другим, 19]
[отвечая, 19]
[прошел, 19]
[хотела, 19]
[линии, 19]
[две, 19]
[заметив, 19]
[колонны, 19]
[князем, 19]
[какая, 19]
[звук, 19]
[налево, 19]
[столу, 18]
[краснея, 18]
[по-французски, 18]
[графу, 18]
[se, 18]
[часу, 18]
[эскадрон, 18]
[смерти, 18]
[каким, 18]
[большой, 18]
[внимания, 18]
[середине, 18]
[желал, 18]
[кабинет, 18]
[хочу, 18]
[хочет, 18]
[вниз, 18]
[обратилась, 18]
[свидания, 18]
[гору, 18]
[нею, 18]
[мосту, 18]
[беспрестанно, 18]
[мое, 18]
[раза, 18]
[гусары, 18]
[письма, 18]
[andre, 18]
[послышались, 18]
[видите, 18]
[homme, 18]
[рот, 18]
[горы, 18]
[сыном, 18]
[княгини, 17]
[минут, 17]
[русского, 17]
[мной, 17]
[знала, 17]
[мысль, 17]
[моего, 17]
[дмитриевна, 17]
[засмеялся, 17]
[голосов, 17]
[доме, 17]
[итти, 17]
[трудно, 17]
[ваш, 17]
[часов, 17]
[знак, 17]
[деревни, 17]
[ними, 17]
[бывает, 17]
[вера, 17]
[нечего, 17]
[проговорила, 17]
[головы, 17]
[здоровье, 17]
[сами, 17]
[шопотом, 17]
[т, 17]
[cette, 17]
[военного, 17]
[петербурге, 17]
[таких, 17]
[женщина, 17]
[командиру, 17]
[позади, 17]
[главное, 17]
[au, 17]
[самый, 17]
[безухого, 17]
[отвернулся, 17]
[пришел, 17]
[просить, 16]
[голова, 16]
[остановил, 16]
[надеюсь, 16]
[впечатление, 16]
[тихон, 16]
[капитан, 16]
[багратиону, 16]
[скажите, 16]
[главнокомандующий, 16]
[чувствуя, 16]
[шинели, 16]
[величество, 16]
[толпы, 16]
